Code,Subject Name,Year,Type,School
ARCH 594,Special Problems in Building Performance,2020,Regular,Architecture
ARCH 595,Spec Prob Struct Theory & Des,2020,Regular,Architecture
ARCH 597,Special Problems in Architectural Design,2020,Regular,Architecture
ARCH 598,Specialized Architectural Practice,2020,Regular,Architecture
ARCH 599,Thesis Research,2020,Regular,Architecture
ART 102,Drawing for Non-Majors,2020,Regular,FAA
ART 103,Painting for Non-Majors,2020,Regular,FAA
ART 104,Sculpture for Non-Majors,2020,Regular,FAA
ART 140,Introduction to Art,2020,Regular,FAA
ART 150,Introduction to Drawing,2020,Regular,FAA
ART 151,Black & White Film Photography,2020,Regular,FAA
ART 154,Digital Video,2020,Regular,FAA
ART 155,Introduction to Graphic Design - Unit One,2020,Regular,FAA
ART 160,The Image World: Photography for Non-Majors,2020,Regular,FAA
ART 191,Unit One Studio/Seminar,2020,Regular,FAA
ART 199,Undergraduate Open Seminar,2020,Regular,FAA
ART 201,Art in Early Childhood,2020,Regular,FAA
ART 310,Design Thinking,2020,Regular,FAA
ARTD 101,Introduction to Industrial Design,2020,Regular,FAA
ARTD 151,Introduction to Graphic Design,2020,Regular,FAA
ARTD 201,Industrial Design I,2020,Regular,FAA
ARTD 217,Graphic Design for Non-Majors,2020,Regular,FAA
ARTD 222,Typographic Practice,2020,Regular,FAA
ARTD 225,Design Drawing,2020,Regular,FAA
ARTD 230,Design Thinking/Need-Finding,2020,Regular,FAA
ARTD 251,Graphic Design Toolbox,2020,Regular,FAA
ARTD 270,Design Methods,2020,Regular,FAA
ARTD 301,Industrial Design III,2020,Regular,FAA
ARTD 318,Interaction Design,2020,Regular,FAA
ARTD 328,Human-Centered Product Design,2020,Regular,FAA
ARTD 351,Graphic Design Inquiry,2020,Regular,FAA
ARTD 371,Graphic Design Practicum,2020,Regular,FAA
ARTD 391,Special Problems in Design,2020,Regular,FAA
ARTD 399,Internship in Design,2020,Regular,FAA
ARTD 401,Industrial Design V,2020,Regular,FAA
ARTD 426,Product Innovation,2020,Regular,FAA
